issue_description,status,priority,metadata
File uploads fail with unknown error message.,in_progress,critical,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-02T14:36:15.189720"", ""last_updated"": ""2025-02-10T14:36:15.189743""}"
Mobile app freezes when navigating to settings.,resolved,low,"{""tags"": [""performance"", ""loading""], ""resolution_steps"": [""Optimize database queries"", ""Increase server resources""], ""reported_at"": ""2025-02-05T14:36:15.189760"", ""last_updated"": ""2025-02-10T14:36:15.189764""}"
Database connection errors occur randomly.,resolved,high,"{""tags"": [""email"", ""notifications""], ""resolution_steps"": [""Check email server settings"", ""Verify SMTP configuration""], ""reported_at"": ""2025-01-25T14:36:15.189773"", ""last_updated"": ""2025-02-10T14:36:15.189775""}"
Slow loading times on the website homepage.,in_progress,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-24T14:36:15.189781"", ""last_updated"": ""2025-02-10T14:36:15.189783""}"
Database connection errors occur randomly.,open,low,"{""tags"": [""network"", ""VPN""], ""resolution_steps"": [""Restart router"", ""Check ISP"", ""Update VPN client""], ""reported_at"": ""2025-01-12T14:36:15.189788"", ""last_updated"": ""2025-02-10T14:36:15.189790""}"
"User cannot log in, receiving authentication error.",resolved,low,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-02-05T14:36:15.189796"", ""last_updated"": ""2025-02-10T14:36:15.189798""}"
Mobile app freezes when navigating to settings.,open,critical,"{""tags"": [""user-management"", ""password-reset""], ""resolution_steps"": [""Ensure user exists"", ""Check permission settings""], ""reported_at"": ""2025-02-04T14:36:15.189803"", ""last_updated"": ""2025-02-10T14:36:15.189805""}"
Users unable to reset passwords via the portal.,resolved,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-25T14:36:15.189810"", ""last_updated"": ""2025-02-10T14:36:15.189811""}"
Mobile app freezes when navigating to settings.,resolved,high,"{""tags"": [""payments"", ""transactions""], ""resolution_steps"": [""Check payment gateway logs"", ""Verify card details""], ""reported_at"": ""2025-01-17T14:36:15.189816"", ""last_updated"": ""2025-02-10T14:36:15.189818""}"
Users unable to reset passwords via the portal.,open,high,"{""tags"": [""authentication"", ""login""], ""resolution_steps"": [""Reset password"", ""Check logs"", ""Verify MFA settings""], ""reported_at"": ""2025-01-20T14:36:15.189822"", ""last_updated"": ""2025-02-10T14:36:15.189824""}"
